a	a˧˧
mặt phải	măt˨ˀ˩faj˧˩˨
mặt phấn	măt˨ˀ˩fɤ̆n˨˦
mặt phẳng	măt˨ˀ˩făŋ˧˩˨
mặt phẳng nghiêng	măt˨ˀ˩făŋ˧˩˨ŋiəŋ˧˧
mặt phố	măt˨ˀ˩fo˨˦
mặt rác mày dơ	măt˨ˀ˩zak˦˥măj˧˨zɤ˧˧
mặt rắn như sành	măt˨ˀ˩zăn˨˦ɲɯ˧˧sɛŋ˧˨
mặt rồng	măt˨ˀ˩zoŋ͡m˧˨
mặt rỗ như tổ ong	măt˨ˀ˩zo˧ˀ˥ɲɯ˧˧to˧˩˨ɔŋ͡m˧˧
mặt rỗ như tổ ong bầu	măt˨ˀ˩zo˧ˀ˥ɲɯ˧˧to˧˩˨ɔŋ͡m˧˧bɤ̆w˧˨
mặt se mày sém	măt˨ˀ˩sɛ˧˧măj˧˨sɛm˨˦
mặt sưng mày sỉa	măt˨ˀ˩sɯŋ˧˧măj˧˨siə˧˩˨
mặt sắt	măt˨ˀ˩săt˦˥
mặt sắt đen sì	măt˨ˀ˩săt˦˥dɛn˧˧si˧˨
mặt số	măt˨ˀ˩so˨˦
mặt sứa gan lim	măt˨ˀ˩sɯə˨˦ɣan˧˧lim˧˧
mặt thoáng	măt˨ˀ˩tʰwaŋ˨˦
mặt thịt	măt˨ˀ˩tʰit˨ˀ˩
mặt thớt	măt˨ˀ˩tʰɤt˦˥
mặt to tai lớn	măt˨ˀ˩tɔ˧˧taj˧˧lɤn˨˦
mặt trái	măt˨ˀ˩caj˨˦
mặt trái xoan	măt˨ˀ˩caj˨˦swan˧˧
mặt tròn xoay	măt˨ˀ˩cɔn˧˨swăj˧˧
mặt trăng	măt˨ˀ˩căŋ˧˧
mặt trơ như mặt thớt	măt˨ˀ˩cɤ˧˧ɲɯ˧˧măt˨ˀ˩tʰɤt˦˥
mặt trơ trán bóng	măt˨ˀ˩cɤ˧˧can˨˦bɔŋ͡m˨˦
mặt trận	măt˨ˀ˩cɤ̆n˨ˀ˩ʔ
mặt trắng	măt˨ˀ˩căŋ˨˦
mặt trẽn mày trơ	măt˨ˀ˩cɛn˧ˀ˥măj˧˨cɤ˧˧
mặt trời	măt˨ˀ˩cɤj˧˨
mặt trời gác núi	măt˨ˀ˩cɤj˧˨ɣak˦˥nuj˨˦
mặt trụ	măt˨ˀ˩cu˨ˀ˩ʔ
mặt tày lệnh cổ tày cong	măt˨ˀ˩tăj˧˨leŋ˨ˀ˩ʔko˧˩˨tăj˧˨kɔŋ͡m˧˧
mặt tái mét nói phét thành thần	măt˨ˀ˩taj˨˦mɛt˦˥nɔj˨˦fɛt˦˥tʰɛŋ˧˨tʰɤ̆n˧˨
mặt tái như gà cắt tiết	măt˨ˀ˩taj˨˦ɲɯ˧˧ɣa˧˨kăt˦˥tiət˦˥
mặt tươi như hoa	măt˨ˀ˩tɯəj˧˧ɲɯ˧˧hwa˧˧
mặt vuông chữ điền	măt˨ˀ˩vuəŋ˧˧cɯ˧ˀ˥diən˧˨
mặt vuông tai lớn	măt˨ˀ˩vuəŋ˧˧taj˧˧lɤn˨˦
mặt vàng như nghệ	măt˨ˀ˩vaŋ˧˨ɲɯ˧˧ŋe˨ˀ˩ʔ
mặt vàng đổi lấy mặt xanh	măt˨ˀ˩vaŋ˧˨doj˧˩˨lɤ̆j˨˦măt˨ˀ˩sɛŋ˧˧
mặt xanh mày xám	măt˨ˀ˩sɛŋ˧˧măj˧˨sam˨˦
mặt xanh nanh vàng	măt˨ˀ˩sɛŋ˧˧nɛŋ˧˧vaŋ˧˨
mặt xám mày xanh	măt˨ˀ˩sam˨˦măj˧˨sɛŋ˧˧
mặt xám như gà cắt tiết	măt˨ˀ˩sam˨˦ɲɯ˧˧ɣa˧˨kăt˦˥tiət˦˥
mặt đáy	măt˨ˀ˩dăj˨˦
mặt đường	măt˨ˀ˩dɯəŋ˧˨
mặt đất	măt˨ˀ˩dɤ̆t˦˥
mặt đỏ như gà chọi	măt˨ˀ˩dɔ˧˩˨ɲɯ˧˧ɣa˧˨cɔj˨ˀ˩ʔ
mặt đỏ như gấc	măt˨ˀ˩dɔ˧˩˨ɲɯ˧˧ɣɤ̆k˦˥
mặt đỏ như lửa	măt˨ˀ˩dɔ˧˩˨ɲɯ˧˧lɯə˧˩˨
mặt đỏ như vang, mặt vàng như nghệ	măt˨ˀ˩dɔ˧˩˨ɲɯ˧˧vaŋ˧˧măt˨ˀ˩vaŋ˧˨ɲɯ˧˧ŋe˨ˀ˩ʔ
mặt đỏ tía tai	măt˨ˀ˩dɔ˧˩˨tiə˨˦taj˧˧
mặt đối mặt	măt˨ˀ˩doj˨˦măt˨ˀ˩
mặt đứng	măt˨ˀ˩dɯŋ˨˦
mặt ủ mày chau	măt˨ˀ˩u˧˩˨măj˧˨căw˧˧
mặt ủ mày ê	măt˨ˀ˩u˧˩˨măj˧˨e˧˧
mẹ	mɛ˨ˀ˩ʔ
mẹ cha	mɛ˨ˀ˩ʔca˧˧
mẹ chồng	mɛ˨ˀ˩ʔcoŋ͡m˧˨
mẹ con	mɛ˨ˀ˩ʔkɔn˧˧
mẹ cu	mɛ˨ˀ˩ʔku˧˧
mẹ cú con tiên	mɛ˨ˀ˩ʔku˨˦kɔn˧˧tiən˧˧
mẹ dàu	mɛ˨ˀ˩ʔzăw˧˨
mẹ dầu	mɛ˨ˀ˩ʔzɤ̆w˧˨
mẹ ghẻ	mɛ˨ˀ˩ʔɣɛ˧˩˨
mẹ già	mɛ˨ˀ˩ʔza˧˨
mẹ già nhà nghèo	mɛ˨ˀ˩ʔza˧˨ɲa˧˨ŋeo˧˨
mẹ già như chuối chín cây	mɛ˨ˀ˩ʔza˧˨ɲɯ˧˧cuəj˨˦cin˨˦kɤ̆j˧˧
mẹ goá con côi	mɛ˨ˀ˩ʔɣwa˨˦kɔn˧˧koj˧˧
mẹ gà con vịt	mɛ˨ˀ˩ʔɣa˧˨kɔn˧˧vit˨ˀ˩
mẹ hoe	mɛ˨ˀ˩ʔhwe˧˧
mẹ hát con khen hay	mɛ˨ˀ˩ʔhat˦˥kɔn˧˧xɛn˧˧hăj˧˧
mẹ kiếp	mɛ˨ˀ˩ʔkiəp˦˥
mẹ kế	mɛ˨ˀ˩ʔke˨˦
mẹ mày	mɛ˨ˀ˩ʔmăj˧˨
mẹ mìn	mɛ˨ˀ˩ʔmin˧˨
mẹ mốc	mɛ˨ˀ˩ʔmok͡p˦˥
mẹ nuôi	mɛ˨ˀ˩ʔnuəj˧˧
mẹ ranh	mɛ˨ˀ˩ʔzɛŋ˧˧
mẹ tròn con vuông	mɛ˨ˀ˩ʔcɔn˧˨kɔn˧˧vuəŋ˧˧
mẹ vợ	mɛ˨ˀ˩ʔvɤ˨ˀ˩ʔ
mẹ đĩ	mɛ˨ˀ˩ʔdi˧ˀ˥
mẹ đỏ	mɛ˨ˀ˩ʔdɔ˧˩˨
mẹ đỡ đầu	mɛ˨ˀ˩ʔdɤ˧ˀ˥dɤ̆w˧˨
mẹc	mɛk˨ˀ˩
mẹo	meo˨ˀ˩ʔ
mẹo luật	meo˨ˀ˩ʔlwɤ̆t˨ˀ˩
mẹo mực	meo˨ˀ˩ʔmɯk˨ˀ˩
mẹp	mɛp˨ˀ˩
mẹt	mɛt˨ˀ˩
mẻ	mɛ˧˩˨
mẻo	meo˧˩˨
mẽ	mɛ˧ˀ˥
mế	me˨˦
mếch lòng	mek˦˥lɔŋ͡m˧˨
mến	men˨˦
mến chuộng	men˨˦cuəŋ˨ˀ˩ʔ
mến mộ	men˨˦mo˨ˀ˩ʔ
mến phục	men˨˦fuk͡p˨ˀ˩
mến thương	men˨˦tʰɯəŋ˧˧
mến tiếc	men˨˦tiək˦˥
mến yêu	men˨˦iəw˧˧
mết	met˦˥
mếu	mɛu˨˦
mếu máo	mɛu˨˦maw˨˦
mếu xoạc	mɛu˨˦swak˨ˀ˩
mếu xệch	mɛu˨˦sek˨ˀ˩
mề	me˧˨
mề gà	me˧˨ɣa˧˨
mề đay	me˧˨dăj˧˧
mề-đay	me˧˨-dăj˧˧
mề-đay-dông	me˧˨-dăj˧˧-zoŋ͡m˧˧
mềm	mem˧˨
mềm dẻo	mem˧˨zeo˧˩˨
mềm hóa	mem˧˨hwa˨˦
mềm lòng	mem˧˨lɔŋ͡m˧˨
mềm lòng nản chí	mem˧˨lɔŋ͡m˧˨nan˧˩˨ci˨˦
mềm lũn	mem˧˨lun˧ˀ˥
mềm lưng	mem˧˨lɯŋ˧˧
mềm lưng uốn gối	mem˧˨lɯŋ˧˧uən˨˦ɣoj˨˦
mềm môi	mem˧˨moj˧˧
mềm mại	mem˧˨maj˨ˀ˩ʔ
mềm mỏng	mem˧˨mɔŋ͡m˧˩˨
mềm nhũn	mem˧˨ɲun˧ˀ˥
mềm như bún	mem˧˨ɲɯ˧˧bun˨˦
mềm như con mài mại, nhũn như con chi chi	mem˧˨ɲɯ˧˧kɔn˧˧maj˧˨maj˨ˀ˩ʔɲun˧ˀ˥ɲɯ˧˧kɔn˧˧ci˧˧ci˧˧
mềm như lạt, mát như nước	mem˧˨ɲɯ˧˧lat˨ˀ˩mat˦˥ɲɯ˧˧nɯək˦˥
mềm nhẽo	mem˧˨ɲeo˧ˀ˥
mềm nắn rắn buông	mem˧˨năn˨˦zăn˨˦buəŋ˧˧
mềm rục	mem˧˨zuk͡p˨ˀ˩
mềm thì đục	mem˧˨tʰi˧˨duk͡p˨ˀ˩
mềm yếu	mem˧˨iəw˨˦
mền	men˧˨
mền mệt	men˧˨met˨ˀ˩
mền-đay	men˧˨-dăj˧˧
mễ	me˧ˀ˥
mệ	me˨ˀ˩ʔ
mệnh	meŋ˨ˀ˩ʔ
mệnh bạc	meŋ˨ˀ˩ʔbak˨ˀ˩
mệnh chung	meŋ˨ˀ˩ʔcuŋ͡m˧˧
mệnh cung	meŋ˨ˀ˩ʔkuŋ͡m˧˧
mệnh căn	meŋ˨ˀ˩ʔkăn˧˧
mệnh danh	meŋ˨ˀ˩ʔzɛŋ˧˧
mệnh giá	meŋ˨ˀ˩ʔza˨˦
mệnh hệ	meŋ˨ˀ˩ʔhe˨ˀ˩ʔ
mệnh lệnh	meŋ˨ˀ˩ʔleŋ˨ˀ˩ʔ
mệnh một	meŋ˨ˀ˩ʔmot˨ˀ˩
mệnh phụ	meŋ˨ˀ˩ʔfu˨ˀ˩ʔ
mệnh số	meŋ˨ˀ˩ʔso˨˦
mệnh trời	meŋ˨ˀ˩ʔcɤj˧˨
mệnh đề	meŋ˨ˀ˩ʔde˧˨
mệt	met˨ˀ˩
mệt bã	met˨ˀ˩ba˧ˀ˥
mệt bở hơi tai	met˨ˀ˩bɤ˧˩˨hɤj˧˧taj˧˧
mệt lả	met˨ˀ˩la˧˩˨
mệt lử	met˨ˀ˩lɯ˧˩˨
mệt lử cò bợ	met˨ˀ˩lɯ˧˩˨kɔ˧˨bɤ˨ˀ˩ʔ
mệt mỏi	met˨ˀ˩mɔj˧˩˨
mệt nhoài	met˨ˀ˩ɲwaj˧˨
mệt nhọc	met˨ˀ˩ɲɔk͡p˨ˀ˩
mệt nhừ	met˨ˀ˩ɲɯ˧˨
mệt phờ	met˨ˀ˩fɤ˧˨
mệt phờ râu trê	met˨ˀ˩fɤ˧˨zɤ̆w˧˧ce˧˧
mệt rũ	met˨ˀ˩zu˧ˀ˥
mệt xác	met˨ˀ˩sak˦˥
mỉa	miə˧˩˨
mỉa mai	miə˧˩˨maj˧˧
mỉm	mim˧˩˨
mỉm cười	mim˧˩˨kɯəj˧˨
mỉu	miw˧˩˨
mị	mi˨ˀ˩ʔ
mị dân	mi˨ˀ˩ʔzɤ̆n˧˧
mị nương	mi˨ˀ˩ʔnɯəŋ˧˧
mịn	min˨ˀ˩ʔ
mịn mà	min˨ˀ˩ʔma˧˨
mịn màng	min˨ˀ˩ʔmaŋ˧˨
mịnh	miŋ˨ˀ˩ʔ
mịt	mit˨ˀ˩
mịt mù	mit˨ˀ˩mu˧˨
mịt mùng	mit˨ˀ˩muŋ͡m˧˨
mịt mờ	mit˨ˀ˩mɤ˧˨
mọc	mɔk͡p˨ˀ˩
mọc lông mọc cánh	mɔk͡p˨ˀ˩loŋ͡m˧˧mɔk͡p˨ˀ˩kɛŋ˨˦
mọc lông trong bụng	mɔk͡p˨ˀ˩loŋ͡m˧˧cɔŋ͡m˧˧buŋ͡m˨ˀ˩ʔ
mọc mũi sủi tăm	mɔk͡p˨ˀ˩muj˧ˀ˥suj˧˩˨tăm˧˧
mọc mầm	mɔk͡p˨ˀ˩mɤ̆m˧˨
mọc mộng	mɔk͡p˨ˀ˩moŋ͡m˨ˀ˩ʔ
mọc như nấm	mɔk͡p˨ˀ˩ɲɯ˧˧nɤ̆m˨˦
mọc răng	mɔk͡p˨ˀ˩zăŋ˧˧
mọc sừng	mɔk͡p˨ˀ˩sɯŋ˧˨
mọi	mɔj˨ˀ˩ʔ
mọi bi	mɔj˨ˀ˩ʔbi˧˧
mọi khi	mɔj˨ˀ˩ʔxi˧˧
mọi luỹ	mɔj˨ˀ˩ʔlwi˧ˀ˥
mọi ngày	mɔj˨ˀ˩ʔŋăj˧˨
mọi rợ	mɔj˨ˀ˩ʔzɤ˨ˀ˩ʔ
mọn	mɔn˨ˀ˩ʔ
mọng	mɔŋ͡m˨ˀ˩ʔ
mọng mọng	mɔŋ͡m˨ˀ˩ʔmɔŋ͡m˨ˀ˩ʔ
mọng nước	mɔŋ͡m˨ˀ˩ʔnɯək˦˥
mọp	mɔp˨ˀ˩
mọt	mɔt˨ˀ˩
mọt cơm	mɔt˨ˀ˩kɤm˧˧
mọt dân	mɔt˨ˀ˩zɤ̆n˧˧
mọt già	mɔt˨ˀ˩za˧˨
mọt gông	mɔt˨ˀ˩ɣoŋ͡m˧˧
mọt gỗ	mɔt˨ˀ˩ɣo˧ˀ˥
mọt nào ăn được cứt sắt	mɔt˨ˀ˩naw˧˨ăn˧˧dɯək˨ˀ˩kɯt˦˥săt˦˥
mọt ruỗng	mɔt˨ˀ˩zuəŋ˧ˀ˥
mọt sách	mɔt˨ˀ˩sɛk˦˥
mọt thóc	mɔt˨ˀ˩tʰɔk͡p˦˥
mọt xác	mɔt˨ˀ˩sak˦˥
mỏ	mɔ˧˩˨
mỏ bao	mɔ˧˩˨baw˧˧
mỏ bạc	mɔ˧˩˨bak˨ˀ˩
mỏ chặn	mɔ˧˩˨căn˨ˀ˩ʔ
mỏ cặp	mɔ˧˩˨kăp˨ˀ˩
mỏ hàn	mɔ˧˩˨han˧˨
mỏ hạc	mɔ˧˩˨hak˨ˀ˩
mỏ khoét	mɔ˧˩˨xwet˦˥
mỏ lết	mɔ˧˩˨let˦˥
mỏ lộ thiên	mɔ˧˩˨lo˨ˀ˩ʔtʰiən˧˧
mỏ neo	mɔ˧˩˨neo˧˧
mỏ nhác	mɔ˧˩˨ɲak˦˥
mỏ nhát	mɔ˧˩˨ɲat˦˥
mỏ quạ	mɔ˧˩˨kwa˨ˀ˩ʔ
mỏ vịt	mɔ˧˩˨vit˨ˀ˩
mỏ ác	mɔ˧˩˨ak˦˥
mỏ-lết	mɔ˧˩˨-let˦˥
mỏi	mɔj˧˩˨
mỏi cánh cò bay	mɔj˧˩˨kɛŋ˨˦kɔ˧˨băj˧˧
mỏi gối chồn chân	mɔj˧˩˨ɣoj˨˦con˧˨cɤ̆n˧˧
mỏi gối chồn vai	mɔj˧˩˨ɣoj˨˦con˧˨vaj˧˧
mỏi miệng	mɔj˧˩˨miəŋ˨ˀ˩ʔ
mỏi mòn	mɔj˧˩˨mɔn˧˨
mỏi mắt	mɔj˧˩˨măt˦˥
mỏi mệt	mɔj˧˩˨met˨ˀ˩
mỏi mồm	mɔj˧˩˨mom˧˨
mỏi nhừ	mɔj˧˩˨ɲɯ˧˨
mỏi rời	mɔj˧˩˨zɤj˧˨
mỏm	mɔm˧˩˨
mỏm chũm	mɔm˧˩˨cum˧ˀ˥
mỏm cụt	mɔm˧˩˨kut˨ˀ˩
mỏng	mɔŋ͡m˧˩˨
mỏng cánh chuồn	mɔŋ͡m˧˩˨kɛŋ˨˦cuən˧˨
mỏng dính	mɔŋ͡m˧˩˨ziŋ˨˦
mỏng manh	mɔŋ͡m˧˩˨mɛŋ˧˧
mỏng mày hay hạt	mɔŋ͡m˧˩˨măj˧˨hăj˧˧hat˨ˀ˩
mỏng môi	mɔŋ͡m˧˩˨moj˧˧
mỏng môi hay hớt	mɔŋ͡m˧˩˨moj˧˧hăj˧˧hɤt˦˥
mỏng mảnh	mɔŋ͡m˧˩˨mɛŋ˧˩˨
mỏng mẻo	mɔŋ͡m˧˩˨meo˧˩˨
mỏng như lá lúa	mɔŋ͡m˧˩˨ɲɯ˧˧la˨˦luə˨˦
mỏng như tờ	mɔŋ͡m˧˩˨ɲɯ˧˧tɤ˧˨
mỏng rót	mɔŋ͡m˧˩˨zɔt˦˥
mỏng tai	mɔŋ͡m˧˩˨taj˧˧
mỏng tang	mɔŋ͡m˧˩˨taŋ˧˧
mỏng tanh	mɔŋ͡m˧˩˨tɛŋ˧˧
mố	mo˨˦
mố cầu	mo˨˦kɤ̆w˧˨
mốc	mok͡p˦˥
mốc giới	mok͡p˦˥zɤj˨˦
mốc hoa cau	mok͡p˦˥hwa˧˧kăw˧˧
mốc meo	mok͡p˦˥meo˧˧
mốc sương	mok͡p˦˥sɯəŋ˧˧
mốc thếch	mok͡p˦˥tʰek˦˥
mốc xì	mok͡p˦˥si˧˨
mối	moj˨˦
mối giường	moj˨˦zɯəŋ˧˨
mối giềng	moj˨˦zeŋ˧˨
mối hàng	moj˨˦haŋ˧˨
mối lái	moj˨˦laj˨˦
mối mai	moj˨˦maj˧˧
mối manh	moj˨˦mɛŋ˧˧
mối mọt	moj˨˦mɔt˨ˀ˩
mối quân	moj˨˦kwɤ̆n˧˧
mối thợ	moj˨˦tʰɤ˨ˀ˩ʔ
mối tình	moj˨˦tiŋ˧˨
mối tơ vò	moj˨˦tɤ˧˧vɔ˧˨
mống	moŋ͡m˨˦
mống cụt	moŋ͡m˨˦kut˨ˀ˩
mống mắt	moŋ͡m˨˦măt˦˥
mốt	mot˦˥
mồ	mo˧˨
mồ cha	mo˧˨ca˧˧
mồ cha chẳng khóc, khóc đống mối	mo˧˨ca˧˧căŋ˧˩˨xɔk͡p˦˥xɔk͡p˦˥doŋ͡m˨˦moj˨˦
mồ côi	mo˧˨koj˧˧
mồ côi mồ cút	mo˧˨koj˧˧mo˧˨kut˦˥
mồ hóng	mo˧˨hɔŋ͡m˨˦
mồ hôi	mo˧˨hoj˧˧
mồ hôi hột	mo˧˨hoj˧˧hot˨ˀ˩
mồ hôi muối	mo˧˨hoj˧˧muəj˨˦
mồ hôi mồ kê	mo˧˨hoj˧˧mo˧˨ke˧˧
mồ hôi nước mắt	mo˧˨hoj˧˧nɯək˦˥măt˦˥
mồ hôi trộm	mo˧˨hoj˧˧com˨ˀ˩ʔ
mồ ma	mo˧˨ma˧˧
mồ mả	mo˧˨ma˧˩˨
mồ yên mả đẹp	mo˧˨iɛn˧˧ma˧˩˨dɛp˨ˀ˩
mồi	moj˧˨
mồi chài	moj˧˨caj˧˨
mồm	mom˧˨
mồm cá ngão	mom˧˨ka˨˦ŋaw˧ˀ˥
mồm còn hơi sữa	mom˧˨kɔn˧˨hɤj˧˧sɯə˧ˀ˥
mồm loa mép giải	mom˧˨lwa˧˧mɛp˦˥zaj˧˩˨
mồm miệng	mom˧˨miəŋ˨ˀ˩ʔ
mồm miệng đỡ chân tay	mom˧˨miəŋ˨ˀ˩ʔdɤ˧ˀ˥cɤ̆n˧˧tăj˧˧
mồm mép	mom˧˨mɛp˦˥
mồm mẹ mẻ nói chẳng sứt	mom˧˨mɛ˨ˀ˩ʔmɛ˧˩˨nɔj˨˦căŋ˧˩˨sɯt˦˥
mồm như quạ cái	mom˧˨ɲɯ˧˧kwa˨ˀ˩ʔkaj˨˦
mồm nói như sẹo gỗ	mom˧˨nɔj˨˦ɲɯ˧˧seo˨ˀ˩ʔɣo˧ˀ˥
mồm năm miệng mười	mom˧˨năm˧˧miəŋ˨ˀ˩ʔmɯəj˧˨
mồn một	mon˧˨mot˨ˀ˩
mồng	moŋ͡m˧˨
mồng ba ăn rốn mồng bốn ngồi trơ	moŋ͡m˧˨ba˧˧ăn˧˧zon˨˦moŋ͡m˧˨bon˨˦ŋoj˧˨cɤ˧˧
mồng gà	moŋ͡m˧˨ɣa˧˨
mồng năm tháng năm	moŋ͡m˧˨năm˧˧tʰaŋ˨˦năm˧˧
mồng quân	moŋ͡m˧˨kwɤ̆n˧˧
mồng thất	moŋ͡m˧˨tʰɤ̆t˦˥
mồng tơi	moŋ͡m˧˨tɤj˧˧
mổ	mo˧˩˨
mổ cò	mo˧˩˨kɔ˧˨
mổ moi	mo˧˩˨mɔj˧˧
mổ xác	mo˧˩˨sak˦˥
mổ xẻ	mo˧˩˨sɛ˧˩˨
mổng	moŋ͡m˧˩˨
mỗ	mo˧ˀ˥
mỗi	moj˧ˀ˥
mỗi cây mỗi hoa, mỗi nhà mỗi cảnh	moj˧ˀ˥kɤ̆j˧˧moj˧ˀ˥hwa˧˧moj˧ˀ˥ɲa˧˨moj˧ˀ˥kɛŋ˧˩˨
mỗi một	moj˧ˀ˥mot˨ˀ˩
mỗi người mỗi vẻ	moj˧ˀ˥ŋɯəj˧˨moj˧ˀ˥vɛ˧˩˨
mỗi người một phách	moj˧ˀ˥ŋɯəj˧˨mot˨ˀ˩fɛk˦˥
mỗi người một vẻ	moj˧ˀ˥ŋɯəj˧˨mot˨ˀ˩vɛ˧˩˨
mỗi nhà mỗi cảnh	moj˧ˀ˥ɲa˧˨moj˧ˀ˥kɛŋ˧˩˨
mỗi năm mỗi tuổi như đuổi xuân đi	moj˧ˀ˥năm˧˧moj˧ˀ˥tuəj˧˩˨ɲɯ˧˧duəj˧˩˨swɤ̆n˧˧di˧˧
mỗi tuổi mỗi già	moj˧ˀ˥tuəj˧˩˨moj˧ˀ˥za˧˨
mỗi tuổi một già	moj˧ˀ˥tuəj˧˩˨mot˨ˀ˩za˧˨
mỗi tội	moj˧ˀ˥toj˨ˀ˩ʔ
mộ	mo˨ˀ˩ʔ
mộ bi	mo˨ˀ˩ʔbi˧˧
mộ binh	mo˨ˀ˩ʔbiŋ˧˧
mộ chí	mo˨ˀ˩ʔci˨˦
mộ danh	mo˨ˀ˩ʔzɛŋ˧˧
mộ giả	mo˨ˀ˩ʔza˧˩˨
mộ phu	mo˨ˀ˩ʔfu˧˧
mộ phần	mo˨ˀ˩ʔfɤ̆n˧˨
mộ tiếng	mo˨ˀ˩ʔtiəŋ˨˦
mộ táng	mo˨ˀ˩ʔtaŋ˨˦
mộ xuân	mo˨ˀ˩ʔswɤ̆n˧˧
mộ đạo	mo˨ˀ˩ʔdaw˨ˀ˩ʔ
mộ địa	mo˨ˀ˩ʔdiə˨ˀ˩ʔ
mộc	mok͡p˨ˀ˩
mộc bản	mok͡p˨ˀ˩ban˧˩˨
mộc dục	mok͡p˨ˀ˩zuk͡p˨ˀ˩
mộc già	mok͡p˨ˀ˩za˧˨
mộc hương	mok͡p˨ˀ˩hɯəŋ˧˧
mộc học	mok͡p˨ˀ˩hɔk͡p˨ˀ˩
mộc lan	mok͡p˨ˀ˩lan˧˧
mộc mạc	mok͡p˨ˀ˩mak˨ˀ˩
mộc nhĩ	mok͡p˨ˀ˩ɲi˧ˀ˥
mộc thông	mok͡p˨ˀ˩tʰoŋ͡m˧˧
mộc thạch	mok͡p˨ˀ˩tʰɛk˨ˀ˩
mộc tinh	mok͡p˨ˀ˩tiŋ˧˧
mộc tuyền	mok͡p˨ˀ˩twiən˧˨
mộc tặc	mok͡p˨ˀ˩tăk˨ˀ˩
mộc tồn	mok͡p˨ˀ˩ton˧˨
mộc đạc	mok͡p˨ˀ˩dak˨ˀ˩
mội	moj˨ˀ˩ʔ
mộng	moŋ͡m˨ˀ˩ʔ
mộng du	moŋ͡m˨ˀ˩ʔzu˧˧
mộng hàm	moŋ͡m˨ˀ˩ʔham˧˨
mộng hùng	moŋ͡m˨ˀ˩ʔhuŋ͡m˧˨
mộng học	moŋ͡m˨ˀ˩ʔhɔk͡p˨ˀ˩
mộng hồn	moŋ͡m˨ˀ˩ʔhon˧˨
mộng mơ	moŋ͡m˨ˀ˩ʔmɤ˧˧
mộng mẹo	moŋ͡m˨ˀ˩ʔmeo˨ˀ˩ʔ
mộng mị	moŋ͡m˨ˀ˩ʔmi˨ˀ˩ʔ
mộng răng	moŋ͡m˨ˀ˩ʔzăŋ˧˧
mộng sự	moŋ͡m˨ˀ˩ʔsɯ˨ˀ˩ʔ
mộng thức	moŋ͡m˨ˀ˩ʔtʰɯk˦˥
mộng tinh	moŋ͡m˨ˀ˩ʔtiŋ˧˧
mộng triệu	moŋ͡m˨ˀ˩ʔciəw˨ˀ˩ʔ
mộng tưởng	moŋ͡m˨ˀ˩ʔtɯəŋ˧˩˨
mộng âm dương	moŋ͡m˨ˀ˩ʔɤ̆m˧˧zɯəŋ˧˧
mộng ước	moŋ͡m˨ˀ˩ʔɯək˦˥
mộng ảo	moŋ͡m˨ˀ˩ʔaw˧˩˨
một	mot˨ˀ˩
một bước	mot˨ˀ˩bɯək˦˥
một bề	mot˨ˀ˩be˧˨
một chiều	mot˨ˀ˩ciəw˧˨
một chân một tay	mot˨ˀ˩cɤ̆n˧˧mot˨ˀ˩tăj˧˧
một chín một mười	mot˨ˀ˩cin˨˦mot˨ˀ˩mɯəj˧˨
một chút	mot˨ˀ˩cut˦˥
một chút gọi là	mot˨ˀ˩cut˦˥ɣɔj˨ˀ˩ʔla˧˨
một chĩnh hai gáo	mot˨ˀ˩ciŋ˧ˀ˥haj˧˧ɣaw˨˦
một chạch không đầy đầm	mot˨ˀ˩cɛk˨ˀ˩xoŋ͡m˧˧dɤ̆j˧˨dɤ̆m˧˨
một chạp	mot˨ˀ˩cap˨ˀ˩
một chặp	mot˨ˀ˩căp˨ˀ˩
một chốc	mot˨ˀ˩cok͡p˦˥
một chốc một lát	mot˨ˀ˩cok͡p˦˥mot˨ˀ˩lat˦˥
một chốn bốn nơi	mot˨ˀ˩con˨˦bon˨˦nɤj˧˧
một chốn bốn quê	mot˨ˀ˩con˨˦bon˨˦kwe˧˧
một chốn đôi ba nơi	mot˨ˀ˩con˨˦doj˧˧ba˧˧nɤj˧˧
một chốn đôi nơi	mot˨ˀ˩con˨˦doj˧˧nɤj˧˧
một chốn đôi quê	mot˨ˀ˩con˨˦doj˧˧kwe˧˧
một chữ bẻ đôi	mot˨ˀ˩cɯ˧ˀ˥bɛ˧˩˨doj˧˧
một chữ cắn đôi	mot˨ˀ˩cɯ˧ˀ˥kăn˨˦doj˧˧
một chữ cắn đôi không biết	mot˨ˀ˩cɯ˧ˀ˥kăn˨˦doj˧˧xoŋ͡m˧˧biət˦˥
một chữ nên thầy	mot˨ˀ˩cɯ˧ˀ˥nen˧˧tʰɤ̆j˧˨
một con cá lội mấy người buông câu	mot˨ˀ˩kɔn˧˧ka˨˦loj˨ˀ˩ʔmɤ̆j˨˦ŋɯəj˧˨buəŋ˧˧kɤ̆w˧˧
một con ngựa đau cả tàu không ăn cỏ	mot˨ˀ˩kɔn˧˧ŋɯə˨ˀ˩ʔdăw˧˧ka˧˩˨tăw˧˨xoŋ͡m˧˧ăn˧˧kɔ˧˩˨
một con so lo bằng mười con dạ	mot˨ˀ˩kɔn˧˧sɔ˧˧lɔ˧˧băŋ˧˨mɯəj˧˨kɔn˧˧za˨ˀ˩ʔ
